row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,left_out_dataset,shots,epochs,finished_pred,last_pred_index,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
196,True,embed_words_conceptnet,avg,cosine_similarity,Linear Regression,english_language_arts,validation,42,,0,0,True,362,2023-05-31 12:02:34,0.5768039261162229,0.3123448042132956,1.1772894960770594e-09,0.4517906336088154,0.3913115569557288,0.3752834991900023,0.2928566536538593,0.4517906336088154,0.4517906336088154,0.4517906336088154,0.4772659898147907,0.4517906336088154,0.3542615576162469
197,True,embed_words_conceptnet,avg,cosine_similarity,Ridge Regression,english_language_arts,validation,42,,0,0,True,362,2023-05-31 12:02:34,0.5757601656130388,0.3123448042132956,1.1772894960770594e-09,0.4462809917355372,0.3909090909090909,0.3708709403687418,0.2838557933294776,0.4462809917355372,0.4462809917355372,0.4462809917355372,0.4767927205943734,0.4462809917355372,0.3431850446204513
198,True,embed_words_conceptnet,add,cosine_similarity,Isotonic Regression,neural_course,validation,42,,0,0,True,64,2023-05-31 12:02:34,0.7260858758842763,0.442548163320216,0.0002231437963666,0.3692307692307692,0.453125,0.375,0.2503192848020434,0.3692307692307692,0.3692307692307692,0.3692307692307692,0.2502403846153846,0.3692307692307692,0.2144414972001178
199,True,embed_words_conceptnet,add,cosine_similarity,Linear Regression,neural_course,validation,42,,0,0,True,64,2023-05-31 12:02:34,0.7584527865152416,-0.5035948201609812,1.9013442814656483e-05,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
200,True,embed_words_conceptnet,add,cosine_similarity,Ridge Regression,neural_course,validation,42,,0,0,True,64,2023-05-31 12:02:34,0.7582624481721075,-0.5035948201609804,1.9013442814657195e-05,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
201,True,embed_words_conceptnet,add,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,,0,0,True,3754,2023-05-31 12:02:35,0.7702839739473538,0.2713743557365469,2.1799109415695545e-64,0.474034620505992,0.2382198169960614,0.2371131783795043,0.2285119936759502,0.474034620505992,0.474034620505992,0.474034620505992,0.498008602365085,0.474034620505992,0.4667269087360555
202,True,embed_words_conceptnet,add,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,ASAP_sas,0,0,True,17206,2023-05-31 12:02:35,1.0252917965365056,0.2171620851370432,9.303814829441506e-183,0.3137676526994827,0.3799645491668069,0.2840185004839852,0.2093280295441587,0.3137676526994827,0.3137676526994827,0.3137676526994827,0.5465647769817137,0.3137676526994827,0.238108785891026
203,True,embed_words_conceptnet,add,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,beetle,0,0,True,6617,2023-05-31 12:02:35,0.4587255841003729,0.3661709343453272,4.000102637957182e-209,0.6695376246600181,0.659755401938273,0.660859863248121,0.660236148356792,0.6695376246600181,0.6695376246600181,0.6695376246600181,0.6708127392949539,0.6695376246600181,0.6701067560867908
204,True,embed_words_conceptnet,add,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,neural_course,0,0,True,645,2023-05-31 12:02:35,0.5560229376911217,0.1353504546198901,0.0005619138796983,0.3405572755417956,0.2798546209761163,0.3389034618996729,0.1824014158508932,0.3405572755417956,0.3405572755417956,0.3405572755417956,0.1878707213332947,0.3405572755417956,0.177609426312245
205,True,embed_words_conceptnet,add,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,sciEntsBank,0,0,True,10803,2023-05-31 12:02:35,0.4649208472334304,0.3507530472630934,2.5503872857852e-310,0.6591077378748612,0.6599733598974591,0.6141127700398217,0.6067260367937206,0.6591077378748612,0.6591077378748612,0.6591077378748612,0.6597012660416892,0.6591077378748612,0.6317810426874642
206,True,embed_words_conceptnet,add,cosine_similarity,Isotonic Regression,concatenated_datasets,validation,42,texas,0,0,True,2272,2023-05-31 12:02:36,1.414815503669488,0.4193999935097983,1.5762989419862215e-97,0.0558732952045754,0.066022488179653,0.2925186081965743,0.0921308922366732,0.0558732952045754,0.0558732952045754,0.0558732952045754,0.0157792654230008,0.0558732952045754,0.0236985025867055
207,True,embed_words_conceptnet,add,cosine_similarity,Linear Regression,concatenated_datasets,validation,42,,0,0,True,3754,2023-05-31 12:02:36,0.770558628616596,0.2585432473722837,2.0855030569751298e-58,0.4750998668442077,0.2406045324151498,0.2392398830566904,0.2311991413264963,0.4750998668442077,0.4750998668442077,0.4750998668442077,0.500080152271025,0.4750998668442077,0.4688233854505767
208,True,embed_words_conceptnet,add,cosine_similarity,Linear Regression,concatenated_datasets,validation,42,ASAP_sas,0,0,True,17206,2023-05-31 12:02:36,1.0144634186308072,0.1872660298591843,1.3858134929185778e-135,0.3047015749404312,0.3763534190603541,0.2761274187781249,0.1941645031655228,0.3047015749404312,0.3047015749404312,0.3047015749404312,0.5455950454661243,0.3047015749404312,0.2203938088074407
